Nível;CD_MUN;Município;Cana-2016;Soja-2016;Cana-2017;Soja-2017;Cana-2018;Soja-2018;Cana-2019;Soja-2019;Cana-2020;Soja-2020
MU;3515350;Euclides da Cunha Paulista (SP);64742;1500;70000;1500;70000;1350;72811;3600;69584;3600
MU;3515400;Fartura (SP);96000;3300;96000;3300;90000;3300;85500;3600;70000;3000
MU;3515509;Fernandópolis (SP);75000;2400;75000;3000;80000;3333;72176;2700;80000;3330
MU;3515608;Fernando Prestes (SP);70000;0;70000;0;90000;0;85000;3500;85000;0
MU;3515657;Fernão (SP);0;0;0;3600;60000;0;60000;0;60000;2500
MU;3515707;Ferraz de Vasconcelos (SP);0;0;0;0;0;0;0;0;0;0
MU;3515806;Flora Rica (SP);60000;0;60000;0;70000;2800;75000;2000;75000;2400
MU;3515905;Floreal (SP);70000;0;90000;2200;90000;1920;90000;2100;90000;3000
MU;3516002;Flórida Paulista (SP);70000;0;70000;2519;70000;2500;70000;1800;70000;2100
MU;3516101;Florínea (SP);65000;3250;95000;3250;95000;3257;110000;3288;95000;3288
MU;3516200;Franca (SP);80000;3300;80000;3300;80000;3300;80000;3200;80000;3267
MU;3516309;Francisco Morato (SP);0;0;0;0;0;0;0;0;0;0
MU;3516408;Franco da Rocha (SP);0;0;0;0;0;0;0;0;0;0
MU;3516507;Gabriel Monteiro (SP);85119;3000;77861;3000;80000;0;80000;2219;80000;2702
MU;3516606;Gália (SP);0;3000;0;3000;0;3000;0;2500;0;2500
MU;3516705;Garça (SP);0;3000;0;3000;0;3000;0;4200;0;3500
MU;3516804;Gastão Vidigal (SP);75000;2400;75000;2400;79444;2397;83000;2700;80000;2890
MU;3516853;Gavião Peixoto (SP);90000;2769;80000;2769;80000;3200;82667;2769;82000;3000
MU;3516903;General Salgado (SP);61000;2100;65000;3600;65000;3600;65000;2400;65144;3200
MU;3517000;Getulina (SP);75000;0;69699;0;75000;2400;75000;2100;75000;2700
MU;3517109;Glicério (SP);90030;3000;72840;3257;72840;3676;80000;1800;80000;2800
MU;3517208;Guaiçara (SP);90000;3000;75000;3595;70000;3595;65000;2102;70000;3000
MU;3517307;Guaimbê (SP);60000;0;52000;2400;55000;0;55000;0;55000;0
MU;3517406;Guaíra (SP);85000;2700;85000;3408;85000;3213;85000;2848;85000;4085
MU;3517505;Guapiaçu (SP);80000;0;80000;4200;80000;3300;80000;2700;80000;3000
MU;3517604;Guapiara (SP);0;3600;0;3600;0;3600;0;3600;0;3600
MU;3517703;Guará (SP);80000;3300;80000;3310;80026;3300;80000;2542;80000;2542
MU;3517802;Guaraçaí (SP);70000;0;70000;0;70000;0;70000;0;70000;0
MU;3517901;Guaraci (SP);90000;3696;90000;3308;80000;3292;80000;2708;83333;3619
MU;3518008;Guarani d'Oeste (SP);80000;2455;80000;2400;80000;2400;72000;1800;80000;3000
MU;3518107;Guarantã (SP);60000;0;60000;0;60000;0;70000;150;70000;2880
MU;3518206;Guararapes (SP);70000;3300;68000;3300;70017;3000;70000;2100;75000;3700
MU;3518305;Guararema (SP);0;0;120000;0;50000;0;50000;0;50000;0
MU;3518404;Guaratinguetá (SP);0;2400;0;0;0;2400;0;3000;0;3000
MU;3518503;Guareí (SP);65000;3000;80000;3000;80000;3000;80000;3300;80000;3300
MU;3518602;Guariba (SP);85000;3000;85000;2500;85000;2000;85000;3000;90000;3000
MU;3518701;Guarujá (SP);0;0;0;0;0;0;0;0;0;0
MU;3518800;Guarulhos (SP);0;0;0;0;0;0;0;0;0;0
MU;3518859;Guatapará (SP);73001;0;73001;3000;73001;0;73001;2703;73001;2703
MU;3518909;Guzolândia (SP);72000;0;72000;2800;72000;2400;65000;2100;70000;3000
MU;3519006;Herculândia (SP);75000;3299;80000;3507;80000;3000;75000;3000;76667;3000
MU;3519055;Holambra (SP);130000;4200;130000;4200;130000;4200;130000;4200;130000;4200
MU;3519071;Hortolândia (SP);0;0;0;0;0;0;0;0;0;0
MU;3519105;Iacanga (SP);80000;0;85000;0;80000;3000;80000;3000;80000;3000
MU;3519204;Iacri (SP);75000;3000;68000;0;70000;0;61000;0;69800;0
MU;3519253;Iaras (SP);70000;3786;70000;4000;70000;3978;70000;3613;68000;3750
MU;3519303;Ibaté (SP);82000;3000;85000;3000;85000;3000;85000;3000;85000;3000
MU;3519402;Ibirá (SP);80000;0;80000;0;80000;0;65000;2160;80000;3000
MU;3519501;Ibirarema (SP);65000;3000;100000;3400;85000;3000;85000;3000;75000;3000
MU;3519600;Ibitinga (SP);95000;3000;95000;3600;85016;3600;75000;3000;82000;3000
MU;3519709;Ibiúna (SP);0;3000;0;3000;0;3000;0;3500;0;3000
MU;3519808;Icém (SP);90000;0;72115;0;55000;2379;80000;1505;70000;3000
MU;3519907;Iepê (SP);79470;2982;75651;3132;70079;3500;70079;3500;70870;3393
MU;3520004;Igaraçu do Tietê (SP);82000;0;83000;0;85000;0;75000;0;75000;0
MU;3520103;Igarapava (SP);78000;3600;83000;3600;83000;3600;69000;2700;69000;2700
MU;3520202;Igaratá (SP);0;0;0;0;0;0;0;0;0;0
